#,,Gimmick,Birthplace,Height,Weight,Promotioin,Rating,votes
137,,Trish Stratus,"Richmond Hill, Ontario, Canada",162,54,,9.01,550
138,,KENTA,"Souka, Saitama, Japan",174,85,,9.01,508
139,,Hana Kimura,"Yokohama, Kanagawa, Japan",164,58,,9,106
140,,Jesse Ventura,"Minneapolis, Minnesota, USA",193,123,,9,132
141,,Freddie Blassie,"St. Louis, Missouri, USA",178,100,,9,70
142,,Nobuhiko Takada,"Yokohama, Kanagawa, Japan",183,100,,9,39
143,,Tsukushi Haruka,"Kamisu, Ibaraki, Japan",146,44,,9,32
144,,Johnny Gargano,"Lakewood, Ohio, USA",178,90,,9,437
145,,Renee Young,"Ajax, Ontario, Canada",164,,,8.99,146
146,,Harley Race,"Kansas City, Missouri, USA",185,115,,8.99,147
147,,Will Ospreay,"Rainham, Essex, England, UK",185,100,,8.99,587
148,,Akira Taue,"Chichibu, Saitama, Japan",192,120,,8.99,135
149,,Tyler Bate,"Netherton, Dudley, West Midlands, England, UK",170,79,,8.98,251
150,,Alex Shelley,"Detroit, Michigan, USA",175,90,,8.95,397
151,,Demonic Flamita,"Ciudad Nezahualcoyotl, Estado de Mexico, Mexiko",170,75,,8.95,61
152,,Masato Tanaka,"Wakayama, Japan",181,90,,8.95,201
153,,Reo Hazuki,"Fukuoka, Japan",154,52,,8.94,47
154,,Vader,"Lynwood, California, USA",190,170,,8.94,433
155,,Charles Robinson,"Charlotte, North Carolina, USA",170,68,,8.94,162
156,,Bryce Remsburg,"Palmyra, Pennsylvania, USA",168,66,,8.94,76
157,,Shotaro Ashino,"Nishitokyo, Tokyo, Japan",174,85,,8.94,33
158,,Nanae Takahashi,"Kawaguchi, Saitama, Japan",165,65,,8.94,34
159,,Kushida,"Tokyo, Japan",175,85,,8.94,308
160,,Steve Wright,"Warrington, Cheshire, England, UK",185,95,,8.93,27
161,,Andrade El Idolo,"Gomez Palacio, Durango, Mexiko",180,95,,8.93,351
162,,Kyle O'Reilly,"Surrey, British Columbia, Canada",180,91,,8.93,360
163,,Chris Benoit,"Montreal, Quebec, Canada",175,101,,8.92,968
164,,Jacob Fatu,"California, USA",187,136,,8.92,36
165,,Jungle Kyona,"Nagoya, Aichi, Japan",156,62,,8.92,89
166,,Syuri,"Ebina, Kanagawa, Japan",162,52,,8.92,76
167,,Akito,"Nagoya, Aichi, Japan",175,84,,8.92,25
168,,Ares,"Zürich, Schweiz",180,98,,8.91,191
169,,Wesna,"Berlin, Deutschland",175,89,,8.91,120
170,,Shun Skywalker,"Toki, Gifu, Japan",180,85,,8.91,31
171,,Michael Buffer,"Philadelphia, Pennsylvania, USA",183,,,8.89,52
172,,Shoko Nakajima,"Niigata, Japan",147,,,8.88,40
173,,Paul Bearer,"Mobile, Alabama, USA",180,109,,8.87,258
174,,Yuji Hino,"Hirakata, Osaka, Japan",178,120,,8.87,51
175,,Konosuke Takeshita,"Osaka, Japan",187,99,,8.87,81
176,,Ultimo Dragon,"Nagoya, Aichi, Japan",172,83,,8.86,206
177,,El Hijo del Santo,"Mexico City, Distrito Federal, Mexiko",169,73,,8.85,52
178,,Takashi Sasaki,"Osaka, Japan",177,90,,8.84,31
179,,Tatsumi Fujinami,"Kunisaki, Oita, Japan",183,105,,8.83,83
180,,Mike Chioda,"Willingboro Township, New Jersey, USA",183,80,,8.82,73
181,,Kyoko Inoue,"Nanyo, Yamagata, Japan",166,108,,8.82,27
182,,Emi Sakura,"Chiba, Japan",158,70,,8.82,65
183,,Chihiro Hashimoto,"Sakai, Fukui, Japan",158,85,,8.82,32
184,,Otto Wanz,"Graz, Steiermark, Österreich",189,175,,8.81,42
185,,Lacey,"Minneapolis, Minnesota, USA",168,59,,8.81,109
186,,Yuki Ishikawa,"Odawara, Kanagawa, Japan",178,95,,8.81,30
187,,Seth Rollins,"Buffalo, Iowa, USA",187,93,,8.8,996
188,,Melissa Santos,Nicaragua,160,52,,8.8,44
189,,Hikaru Shida,"Samukawa, Kanagawa, Japan",165,60,,8.79,216
190,,Ilja Dragunov,"Moskau, Russland",175,85,,8.79,178
191,,Ryo Mizunami,"Nagoya, Aichi, Japan",160,67,,8.78,45
192,,Doug Williams,"Reading, Berkshire, England, UK",182,110,,8.77,290
193,,Naruki Doi,"Ikoma, Nara, Japan",172,82,,8.77,99
194,,Kenou,"Tokushima, Japan",174,95,,8.77,78
195,,Antonio Inoki,"Yokohama, Kanagawa, Japan",190,102,,8.76,118
196,,Christopher Daniels,"Kalamazoo, Michigan, USA",180,95,,8.76,596
197,,Ryuji Ito,"Takizawa, Iwate, Japan",185,95,,8.76,78
198,,Zack Sabre Jr.,"Isle of Sheppey, Kent, England, UK",183,85,,8.76,600
199,,Kay Lee Ray,"Glasgow, Scotland, UK",173,51,,8.76,133
200,,PAC,"Newcastle upon Tyne, Tyne and Wear, England, UK",172,88,,8.75,633
201,,Tetsuya Endo,"Shiroishi, Miyagi, Japan",180,88,,8.75,55
202,,Low Ki,"New York City, New York, USA",173,80,,8.74,432
203,,Dragon Kid,"Tokai, Aichi, Japan",162,70,,8.74,107
204,,Risa Sera,"Sera, Hiroshima, Japan",167,60,,8.74,26
205,,Tommaso Ciampa,"Everett, Massachusetts, USA",183,93,,8.73,332
206,,Rosemary,"Winnipeg, Manitoba, Canada",170,68,,8.73,80
207,,Konami,"Fukuyama, Hiroshima, Japan",156,55,,8.73,78
208,,Shigehiro Irie,"Osaka, Japan",173,115,,8.72,42
209,,Isami Kodaka,"Yokohama, Kanagawa, Japan",172,75,,8.72,57
210,,Tracy Williams,"New York City, New York, USA",188,84,,8.72,46
211,,Martin Kirby,"Thirsk, North Yorkshire, England, UK",180,82,,8.71,50
212,,BxB Hulk,"Sapporo, Hokkaido, Japan",178,78,,8.71,98
213,,Timothy Thatcher,"Sacramento, California, USA",190,102,,8.71,189
214,,Eita,"Nagano, Japan",170,75,,8.7,52
215,,Madison Eagles,"Sydney, New South Wales, Australia",185,75,,8.69,34
216,,Atsushi Onita,"Nagasaki, Japan",181,77,,8.69,71
217,,Christian Cage,"Kitchener, Ontario, Canada",185,95,,8.69,934
218,,Satoshi Kojima,"Tokyo, Japan",183,108,,8.69,198
219,,Ayako Hamada,"Mexico City, Distrito Federal, Mexiko",162,65,,8.68,64
220,,William Regal,"Codsall Wood, Staffordshire, England, UK",187,111,,8.68,657
221,,Cheerleader Melissa,"Los Angeles, California, USA",173,65,,8.68,140
222,,Dean Malenko,"Irvington, New Jersey, USA",172,98,,8.68,361
223,,Finn Balor,"Bray, County Wicklow, Ireland",180,87,,8.68,640
224,,Yuka Sakazaki,Japan,158,58,,8.67,78
225,,Sara Amato,"Martinez, California, USA",175,68,,8.66,129
226,,Cameron Grimes,"Cameron, North Carolina, USA",183,100,,8.66,185
227,,Kaito Kiyomiya,"Saitama, Japan",180,98,,8.66,79
228,,Sarah Stock,"Winnipeg, Manitoba, Canada",168,57,,8.65,91
229,,Akira Maeda,"Osaka, Japan",192,115,,8.64,38
230,,Zenshi,"Atlanta, Georgia, USA",175,78,,8.64,27
231,,Kazushi Sakuraba,"Katagami, Akita, Japan",180,85,,8.64,58
232,,Nick Jackson,"Hesperia, California, USA",178,81,,8.63,207
233,,Joel Gertner,"New York City, New York, USA",170,86,,8.62,51
234,,Kzy,"Ebetsu, Hokkaido, Japan",172,75,,8.62,52
235,,Sasha Banks,"Fairfield, California, USA",164,52,,8.62,608
236,,Riddle,"Allentown, Pennsylvania, USA",188,98,,8.62,268
237,,Hiroyo Matsumoto,"Hiratsuka, Kanagawa, Japan",167,70,,8.61,50
238,,Triple H,"Nashua, New Hampshire, USA",193,116,,8.61,1314
239,,Shuji Kondo,"Shizuoka, Japan",173,103,,8.6,47
240,,Beth Phoenix,"Elmira, New York, USA",170,70,,8.6,421
241,,Hachiman,"Kitahiroshima, Hokkaido, Japan",191,113,,8.6,54
242,,Naoya Nomura,"Kanazawa, Ishikawa, Japan",185,105,,8.6,39
243,,Saki Akai,"Kyoto, Japan",174,53,,8.6,39
244,,Koji Kanemoto,"Kobe, Hyogo, Japan",180,83,,8.59,69
245,,Masada,"Beaumont, Texas, USA",183,111,,8.59,85
246,,Bull Nakano,"Kawaguchi, Saitama, Japan",170,115,,8.58,105
247,,Truth Martini,"Hamtrack, Michigan, USA",173,89,,8.58,42
248,,Tony Deppen,"Shamokin, Pennsylvania, USA",169,75,,8.58,32
249,,Dory Funk Jr.,"Amarillo, Texas, USA",188,115,,8.58,82
250,,Ricochet,"Alton, Illinois, USA",175,85,,8.58,536
251,,Matt Jackson,"Rancho Cucamonga, California, USA",178,78,,8.58,207
