#,,Gimmick,Birthplace,Height,Weight,Promotioin,Rating,votes
741,,Alex Reynolds,"Southampton, New York, USA",178,89,,7.21,46
742,,Natsu Sumire,"Iwakura, Aichi, Japan",164,60,,7.21,33
743,,Kevin Nash,"Detroit, Michigan, USA",211,127,,7.21,561
744,,Juice Robinson,"Joliet, Illinois, USA",191,100,,7.21,280
745,,Amazing Red,"Cayey, Puerto Rico, USA",168,70,,7.2,141
746,,Joel Redman,"Exeter, Devon, England, UK",185,99,,7.2,50
747,,Maria Kanellis-Bennett,"Ottawa, Illinois, USA",170,52,,7.2,342
748,,Kevin Kelly,"New York City, New York, USA",178,109,,7.19,42
749,,Robert Dreissker,"Tulln, Niederösterreich, Österreich",180,134,,7.19,61
750,,John Bradshaw Layfield,"Athens, Texas, USA",195,128,,7.19,633
751,,Cheech,"New York City, New York, USA",183,80,,7.18,60
752,,King Muertes,"Bayamon, Puerto Rico, USA",183,111,,7.18,158
753,,Jason Jordan,"Tinley Park, Illinois, USA",190,107,,7.18,175
754,,Elizabeth,"Frankfort, Kentucky, USA",163,54,,7.17,118
755,,Mr. Fuji,"Honolulu, Hawaii, USA",178,109,,7.17,110
756,,Tito Santana,"Mission, Texas, USA",188,107,,7.17,141
757,,Sasa Keel,"Split, Dalmatien, Kroatien",196,106,,7.16,56
758,,Shane Douglas,"Pittsburgh, Pennsylvania, USA",183,111,,7.16,171
759,,Tommy Dreamer,"Yonkers, New York, USA",188,116,,7.16,437
760,,Corey Graves,"Pittsburgh, Pennsylvania, USA",185,93,,7.16,151
761,,El Texano Jr.,"Mexico City, Distrito Federal, Mexiko",174,100,,7.16,48
762,,Hulk Hogan,"Augusta, Georgia, USA",193,125,,7.15,965
763,,Mark Coffey,"Glasgow, Scotland, UK",188,108,,7.15,25
764,,Scorpio Sky,"Los Angeles, California, USA",178,80,,7.15,114
765,,Rhino,"Dearborn, Michigan, USA",177,134,,7.15,405
766,,Shane Taylor,"Cleveland, Ohio, USA",185,143,,7.15,25
767,,Alexa Bliss,"Columbus, Ohio, USA",155,46,,7.15,433
768,,Wardlow,"Cleveland, Ohio, USA",188,113,,7.15,61
769,,Paul Robinson,"England, UK",167,64,,7.14,49
770,,Peter White,"Wien, Österreich",188,100,,7.14,28
771,,Jeff Jarrett,"Hendersonville, Tennessee, USA",183,107,,7.14,425
772,,Earl Hebner,"King William County, Virginia, USA",170,73,,7.13,105
773,,Mike Kruel,"New York City, New York, USA",180,102,,7.13,29
774,,Da Mack,"Hamburg, Deutschland",182,84,,7.13,115
775,,Christina Von Eerie,"Sacramento, California, USA",163,56,,7.13,30
776,,Jamie Noble,"Hanover, West Virginia, USA",170,91,,7.13,305
777,,PCO,"Montreal, Quebec, Canada",185,124,,7.12,146
778,,Daffney,"Wiesbaden, Hessen, Deutschland",168,59,,7.11,111
779,,Marty Martinez,"West Jordan, Utah, USA",188,98,,7.11,44
780,,PJ Black,"Cape Town, South Africa",185,97,,7.11,248
781,,Kazuki Hashimoto,"Soka, Saitama, Japan",170,80,,7.11,26
782,,Eddie Gilbert,"Lexington, Tennessee, USA",178,101,,7.1,30
783,,Robert Ray,"Graz, Steiermark, Österreich",185,100,,7.1,40
784,,Bronson Reed,Australia,180,125,,7.1,67
785,,Muhammad Hassan,"Syracuse, New York, USA",188,105,,7.09,150
786,,Thom Latimer,"Harrogate, England, UK",190,105,,7.09,67
787,,Jake Atlas,"El Monte, California, USA",,,,7.09,34
788,,Powerhouse Hobbs,"Palo Alto, California, USA",185,109,,7.09,31
789,,Velvet Sky,"New Britain, Connecticut, USA",165,57,,7.08,202
790,,Tim Donst,"East Stroudsburg, Pennsylvania, USA",178,109,,7.08,50
791,,Kip Sabian,"Great Yarmouth, Norfolk, England, UK",180,82,,7.08,62
792,,Butcher,"Buffalo, New York, USA",191,124,,7.08,35
793,,El Samurai,"Hanamaki, Iwate, Japan",180,85,,7.08,39
794,,Yuya Uemura,"Imabari, Ehime, Japan",180,82,,7.08,36
795,,Hector Garza,"Monterrey, Nuevo Leon, Mexiko",178,95,,7.07,45
796,,Rambo,"Santo Domingo de Guzmán, Dominikanische Republik",170,100,,7.07,27
797,,Blade,"Buffalo, New York, USA",183,100,,7.07,44
798,,Serena Deeb,"Oakton, Virginia, USA",162,58,,7.07,128
799,,Wifebeater,"Dallas, Texas, USA",193,111,,7.06,32
800,,Ron Simmons,"Perry, Georgia, USA",185,125,,7.06,242
801,,Primate,"Newcastle upon Tyne, England, UK",180,95,,7.06,33
802,,Ligero,"Leeds, West Yorkshire, England, UK",170,73,,7.05,86
803,,LuFisto,"Sorel, Quebec, Canada",160,63,,7.05,83
804,,Saya Kamitani,"Kanagawa, Japan",168,58,,7.05,54
805,,Scott Lost,"Santa Cruz, California, USA",175,84,,7.04,49
806,,Yoshinari Ogawa,"Toride, Ibaraki, Japan",180,85,,7.04,82
807,,Dave Mastiff,"Dudley, West Midlands, England, UK",175,143,,7.03,72
808,,Ryouji Sai,"Osaka, Japan",190,105,,7.03,30
809,,Mr. Insanity,"Detroit, Michigan, USA",192,107,,7.02,48
810,,Gran Akuma,"Boyertown, Pennsylvania, USA",178,90,,7.01,76
811,,Alofa,Samoa,188,165,,7,37
812,,Vincent,"Warwick, Rhode Island, USA",183,86,,7,26
813,,Ace Romero,"Saco, Maine, USA",184,181,,7,36
814,,Mansoor,"Riyadh, Saudi Arabia",183,89,,7,52
815,,Wolfgang,"Glasgow, Scotland, UK",186,116,,7,56
816,,Carlito,"San Juan, Puerto Rico, USA",178,100,,6.99,497
817,,Jake Hager,"Perry, Oklahoma, USA",193,130,,6.99,567
818,,Jimmy Yang,"Los Angeles, California, USA",175,93,,6.98,284
819,,Hernandez,"Houston, Texas, USA",188,134,,6.98,243
820,,Josh Raymond,"Kalamazoo, Michigan, USA",175,83,,6.97,31
821,,Bobby Gunns,"Heilbad Heiligenstadt, Thüringen, Deutschland",179,92,,6.97,63
822,,Terry Frazier,"East London, England, UK",185,77,,6.96,25
823,,Ted DiBiase Jr.,"Baton Rouge, Louisiana, USA",188,107,,6.95,330
824,,Sid Vicious,"West Memphis, Arkansas, USA",206,142,,6.94,263
825,,Shotzi,"California, USA",167,57,,6.94,82
826,,John Kronus,"Everett, Massachusetts, USA",191,116,,6.93,44
827,,Doug Furnas,"Miami, Oklahoma, USA",180,110,,6.93,40
828,,Aron Stevens,"Worcester, Massachusetts, USA",193,110,,6.93,320
829,,Todd Pettengill,"Hagaman, New York, USA",183,79,,6.92,25
830,,Batista,"Arlington, Virginia, USA",196,126,,6.92,1094
831,,Joaquin Wilde,"Los Angeles, California, USA",170,77,,6.92,132
832,,Christian Bruns,"Bocholt, Nordrhein-Westfalen, Deutschland",,,,6.91,90
833,,Jody Fleisch,"London, England, UK",177,70,,6.91,54
834,,Afa,Samoa,188,148,,6.9,59
835,,Nikki Roxx,"Melrose, New Hampshire, USA",175,64,,6.9,80
836,,Patriot,"Columbia, South Carolina, USA",190,118,,6.9,41
837,,Matt Striker,"New York City, New York, USA",178,98,,6.9,300
838,,K-ness,"Tokyo, Japan",172,74,,6.9,28
839,,Togi Makabe,"Sagamihara, Kanagawa, Japan",181,110,,6.9,173
840,,Saya Iida,"Kashiwa, Chiba, Japan",145,54,,6.9,50
841,,Mina Shirakawa,"Tokyo, Japan",157,,,6.89,27
842,,Blitzkrieg,"California, USA",165,73,,6.89,27
843,,X-Dream,"Köln, Nordrhein-Westfalen, Deutschland",183,80,,6.89,72
844,,Abdullah Kobayashi,"Chikuma, Nagano, Japan",175,165,,6.89,62
845,,Nick Aldis,"King's Lynn, Norfolk, England, UK",192,110,,6.89,181
846,,BUSHI,"Tokyo, Japan",172,83,,6.89,159
847,,Yokozuna,"San Francisco, California, USA",193,290,,6.88,258
848,,Stevie Richards,"Philadelphia, Pennsylvania, USA",187,100,,6.88,223
849,,Nicho,"Tijuana, Baja California, Mexiko",180,91,,6.88,133
850,,YOH,"Kurihara, Miyagi, Japan",171,85,,6.88,96
851,,Nick Gage,"Salt Lake City, Utah, USA",178,91,,6.87,123
852,,Fabio Ferrari,"Genua, Italien",187,101,,6.87,30
853,,Celeste Bonin,"Houston, Texas, USA",165,58,,6.86,148
854,,Maryse,"Montreal, Quebec, Canada",173,52,,6.86,345
855,,Delirious,"Missouri, USA",178,91,,6.85,181
856,,Yoshiaki Yago,"Imizu, Toyama, Japan",187,100,,6.85,26
857,,Dustin Rhodes,"Austin, Texas, USA",193,107,,6.85,637
858,,Ricky Morton,"Nashville, Tennessee, USA",180,103,,6.84,63
859,,Kenny King,"Orlando, Florida, USA",183,104,,6.84,115
860,,Big E,"Tampa, Florida, USA",180,130,,6.84,416
861,,Mascarita Dorada,"Veracruz, Mexiko",134,48,,6.83,58
862,,Kid Kash,"Waynesboro, West Virginia, USA",175,93,,6.83,132
863,,Iron Sheik,"Damghan, Provinz Semnan, Iran",183,117,,6.83,157
864,,Bunny,"Toronto, Ontario, Canada",168,54,,6.83,89
865,,Xavier Woods,"Marietta, Georgia, USA",175,93,,6.83,367
866,,Aykut Artan,"Istanbul, Türkei",188,107,,6.82,27
867,,Flip Gordon,"Kalispell, Montana, USA",178,88,,6.82,65
868,,Bob Backlund,"Princeton, Minnesota, USA",185,109,,6.82,190
869,,Wendi Richter,"Dallas, Texas, USA",173,64,,6.8,34
870,,Jimmy Lloyd,"New Jersey, USA",178,100,,6.8,29
871,,Erick Stevens,"Sarasota, Florida, USA",183,86,,6.79,95
872,,Necro Butcher,"Morgantown, West Virginia, USA",185,105,,6.79,181
873,,Icarus,"Pennsylvania, USA",178,83,,6.79,56
874,,Roman Reigns,"Pensacola, Florida, USA",190,120,,6.79,1000
875,,Arik Cannon,"Chicago, Illinois, USA",175,92,,6.78,57
876,,Taeler Hendrix,"New Bedford, Massachusetts, USA",170,57,,6.78,40
877,,Joseph Conners,"Nottingham, Nottinghamshire, England, UK",185,89,,6.78,53
878,,Teoman,"Berlin, Deutschland",182,82,,6.78,90
879,,Moose,"Seabrook, Maryland, USA",196,136,,6.78,117
880,,Messiah,"Detroit, Michigan, USA",185,96,,6.77,29
881,,Fabulous Moolah,"Kershaw County, South Carolina, USA",165,63,,6.77,94
882,,Himeka,"Iwate, Japan",171,,,6.77,25
883,,Makoto Oishi,"Fuji, Shizuoka, Japan",170,75,,6.77,25
884,,Desean Pratt,"Pennsauken, New Jersey, USA",175,81,,6.76,40
885,,Pascal Spalter,"Berlin, Deutschland",191,141,,6.76,33
886,,Tony Schiavone,"Craigsville, Virginia, USA",178,85,,6.76,82
887,,Taichi,"Ishikari, Hokkaido, Japan",177,100,,6.76,239
888,,Demolition Ax,"Brownsville, Pennsylvania, USA",192,132,,6.75,76
889,,Chris Guy,"Chicago, Illinois, USA",175,96,,6.75,54
890,,Jigsaw,"New York City, New York, USA",188,86,,6.75,95
891,,Saki Kashima,"Masuda, Shimane, Japan",163,50,,6.75,55
892,,Yota Tsuji,"Yokohama, Kanegawa, Japan",182,91,,6.75,27
893,,Sgt. Slaughter,"Detroit, Michigan, USA",196,138,,6.72,177
894,,Rain,"Sacramento, California, USA",168,58,,6.72,38
895,,Jey Uso,"San Francisco, California, USA",188,109,,6.71,193
896,,Peter Avalon,"Carson City, Nevada, USA",178,75,,6.71,37
897,,Jaki Numazawa,"Honjo, Saitama, Japan",174,100,,6.71,34
898,,Thunder,"England, UK",187,130,,6.7,26
899,,John Walters,"Framingham, Massachusetts, USA",183,102,,6.7,29
900,,Matt Borne,"North Carolina, USA",183,110,,6.7,147
901,,Todd Grisham,"Hattiesburg, Mississippi, USA",185,73,,6.69,99
902,,Gerald Brisco,"Oklahoma City, Oklahoma, USA",188,95,,6.69,48
903,,James Drake,"Blackpool, Lancashire, England, UK",181,81,,6.69,35
904,,Tiger Mask,"Urayasu, Chiba, Japan",173,85,,6.69,130
905,,Michael Modest,"Berkeley, California, USA",178,102,,6.68,27
906,,Sexxxy Eddy,"Montreal, Quebec, Canada",185,90,,6.68,43
907,,Jimmy Rave,"Atlanta, Georgia, USA",173,94,,6.67,84
908,,Bo Jones,"Elmshorn, Schleswig-Holstein, Deutschland",186,92,,6.67,69
909,,Taryn Terrell,"New Orleans, Louisiana, USA",167,57,,6.67,107
910,,Kaleb With A K,"Cartersville, Georgia, USA",183,94,,6.67,35
911,,Pat Patterson,"Montreal, Quebec, Canada",178,111,,6.66,72
912,,Chris Candido,"Edison, New Jersey, USA",175,105,,6.66,105
913,,Stephanie McMahon,"Hartford, Connecticut, USA",173,65,,6.66,389
914,,Jessy Sorensen,"Katy, Texas, USA",178,94,,6.66,28
915,,Drake Maverick,"Birmingham, England, UK",163,64,,6.66,130
916,,Matt Taven,"Derry, New Hampshire, USA",188,99,,6.66,91
917,,Session Moth Martina,"Dublin, Ireland",167,63,,6.66,46
918,,Juventud Guerrera,"Mexico City, Distrito Federal, Mexiko",165,80,,6.65,157
919,,Marty Jannetty,"Columbus, Georgia, USA",181,104,,6.65,205
920,,Mikey Nicholls,"Perth, Western Australia, Australia",185,106,,6.65,47
921,,Brian Pillman Jr.,"Cincinnati, Ohio, USA",185,93,,6.65,45
922,,Mike Tenay,"Los Angeles, California, USA",175,82,,6.64,124
923,,Madison Rayne,"Columbus, Ohio, USA",160,52,,6.64,127
924,,Rambo,"Montreal, Quebec, Canada",195,130,,6.64,32
925,,YOSHI-HASHI,"Togo, Aichi, Japan",180,102,,6.64,199
926,,Torrie Wilson,"Boise, Idaho, USA",176,58,,6.63,237
927,,Jay Skillet,"Solingen, Nordrhein-Westfalen, Deutschland",178,83,,6.63,26
928,,Petey Williams,"Windsor, Ontario, Canada",170,80,,6.63,196
929,,Kikutaro,"Osaka, Japan",168,105,,6.63,51
930,,Lince Dorado,"East Pennsauken, New Jersey, USA",170,77,,6.63,122
931,,Karrion Kross,"New York City, New Cork, USA",194,120,,6.63,111
932,,Silver King,"Torreon, Coahuila, Mexiko",176,98,,6.62,36
933,,Sandman,"Philadelphia, Pennsylvania, USA",188,111,,6.62,313
934,,Sean O'Haire,"Hilton Head Island, South Carolina, USA",198,122,,6.62,124
935,,Jimmy Uso,"San Francisco, California, USA",188,109,,6.62,185
936,,Tom Phillips,"Philadelphia, Pennsylvania, USA",183,,,6.61,60
937,,Aubrey Edwards,"Seattle, Washington, USA",,,,6.61,40
938,,Hellvetic Warrior,"Zürich, Schweiz",180,112,,6.61,30
939,,Crazzy Steve,"Montreal, Quebec, Canada",178,91,,6.61,50
940,,Veda Scott,"Providence, Rhode Island, USA",155,52,,6.61,48
941,,Jessica McKay,"Sydney, New South Wales, Australia",178,60,,6.61,142
942,,Gigi Dolin,"Douglasville, Georgia, USA",165,52,,6.61,32
943,,Evil Uno,"Gatineau, Quebec, Canada",180,100,,6.6,100
944,,Joey Janela,"Hazlet Township, New Jersey, USA",173,83,,6.6,155
945,,Cloudy,"Webster Hall, New York, USA",164,68,,6.59,53
946,,David Finlay,"Achim, Niedersachsen, Deutschland",182,95,,6.59,134
947,,Sika,"Leone, Samoa",188,145,,6.58,30
948,,Dan Spivey,"Griffin, Georgia, USA",203,127,,6.58,77
949,,Iceman,"Bishop Auckland, Durham, England, UK",183,127,,6.58,25
950,,Tom LaRuffa,"Nizza, Alpes-Maritimes, Frankreich",180,91,,6.58,35
951,,Joe Gacy,"Franklinville, New Jersey, USA",183,113,,6.57,41
952,,Ivan Koloff,"Ontario, Canada",178,113,,6.56,53
953,,Big John Studd,"Butler, Pennsylvania, USA",208,165,,6.56,84
954,,Jazzy Gabert,"Berlin, Deutschland",186,88,,6.56,97
955,,Slick,"Fort Worth, Texas, USA",193,90,,6.55,59
956,,Super Crazy,"Tulancingo, Hidalgo, Mexiko",173,98,,6.55,185
957,,Col. Robert Parker,"Dyersburg, Tennessee, USA",193,109,,6.54,36
958,,Monty Brown,"Bridgeport, Michigan, USA",187,125,,6.54,163
959,,Earthquake,"Surrey, British Columbia, Canada",198,210,,6.54,182
960,,Charlie Haas,"Houston, Texas, USA",188,110,,6.54,273
961,,Don Fujii,"Minoh, Osaka, Japan",175,105,,6.54,34
962,,Leon Ruff,"Pensacola, Florida, USA",,,,6.53,29
963,,Al Snow,"Lima, Ohio, USA",185,107,,6.53,202
964,,Scott Norton,"Minneapolis, Minnesota, USA",191,160,,6.53,112
965,,Fallah Bahh,"Bloomfield, New Jersey, USA",180,193,,6.53,29
966,,Eric Young,"Florence, Ontario, Canada",183,102,,6.53,338
967,,Ariel,"Chino, California, USA",165,61,,6.52,137
968,,Armando Estrada,"Chicago, Illinois, USA",188,107,,6.52,148
969,,Penelope Ford,"Phoenix, Arizona, USA",,,,6.52,83
970,,Havok,"Canton, Ohio, USA",183,120,,6.52,57
971,,Marc Roudin,"Basel, Schweiz",173,82,,6.51,76
972,,Brad Armstrong,"Marietta, Georgia, USA",183,106,,6.51,56
973,,Anna Jay,"Brunswick, Georgia, USA",173,65,,6.51,56
974,,Michael Hayes,"Pensacola, Florida, USA",185,107,,6.51,88
975,,Matt Rehwoldt,"Chicago, Illinois, USA",190,98,,6.5,187
976,,Ivan Putski,"Krakau, Kleinpolen, Polen",175,110,,6.5,33
977,,Zelina Vega,"New York City, New York, USA",154,48,,6.5,115
978,,Great-O-Khan,"Maebashi, Gunma, Japan",185,110,,6.5,71
979,,Teddy Hart,"Calgary, Alberta, Canada",183,85,,6.49,132
980,,Catrina,"Tampa, Florida, USA",163,54,,6.48,68
981,,Nikita Koloff,"Minneapolis, Minnesota, USA",188,122,,6.48,45
982,,Dan Severn,"Coldwater, Michigan, USA",188,123,,6.47,54
983,,Teddy Long,"Birmingham, Alabama, USA",178,73,,6.46,218
984,,Max Boyer,"Longueuil, Quebec, Canada",173,77,,6.46,25
985,,Karsten Beck,"Bottrop, Nordrhein-Westfalen, Deutschland",181,106,,6.46,141
986,,Lars Sullivan,"Westminster, Colorado, USA",190,137,,6.46,73
987,,Brooklyn Brawler,"New York City, New York, USA",183,109,,6.46,143
988,,Chelsea Green,"Victoria, British Columbia, Canada",170,57,,6.46,53
989,,Rachael Ellering,"Sauk Centre, Minnesota, USA",168,64,,6.46,25
990,,Shawn Spears,"St. Catharines, Ontario, Canada",191,107,,6.46,248
991,,Chad Collyer,"Liberty, Indiana, USA",174,97,,6.45,39
992,,Rezar,Albanien,194,140,,6.45,50
993,,Sonya Deville,"New Jersey, USA",170,59,,6.45,103
994,,Pinkie Sanchez,"New York, New York, USA",180,77,,6.44,35
995,,Greg Valentine,"Seattle, Washington, USA",180,113,,6.44,136
996,,Nyla Rose,"Washington, District Of Columbia, USA",175,77,,6.43,109
997,,Nate Webb,"Indianapolis, Indiana, USA",188,84,,6.42,47
998,,Blackjack Mulligan,"Sweetwater, Texas, USA",198,157,,6.42,30
999,,Sha Samuels,"London, England, UK",185,107,,6.42,52
1000,,Gamma,"Iwaki, Fukushima, Japan",170,80,,6.42,30
