Rank,Name,Height,Weight,Rating,Votes,City,State,Country
909,Taryn Terrell,167,57,6.67,107,New Orleans, Louisiana, USA
910,Kaleb With A K,183,94,6.67,35,Cartersville, Georgia, USA
911,Pat Patterson,178,111,6.66,72,Montreal, Quebec, Canada
912,Chris Candido,175,105,6.66,105,Edison, New Jersey, USA
913,Stephanie McMahon,173,65,6.66,389,Hartford, Connecticut, USA
914,Jessy Sorensen,178,94,6.66,28,Katy, Texas, USA
916,Matt Taven,188,99,6.66,91,Derry, New Hampshire, USA
917,Session Moth Martina,167,63,6.66,46,Dublin, Ireland,
918,Juventud Guerrera,165,80,6.65,157,Mexico City, Distrito Federal, Mexiko
919,Marty Jannetty,181,104,6.65,205,Columbus, Georgia, USA
920,Mikey Nicholls,185,106,6.65,47,Perth, Western Australia, Australia
921,Brian Pillman Jr.,185,93,6.65,45,Cincinnati, Ohio, USA
922,Mike Tenay,175,82,6.64,124,Los Angeles, California, USA
923,Madison Rayne,160,52,6.64,127,Columbus, Ohio, USA
924,Rambo,195,130,6.64,32,Montreal, Quebec, Canada
925,YOSHI-HASHI,180,102,6.64,199,Togo, Aichi, Japan
926,Torrie Wilson,176,58,6.63,237,Boise, Idaho, USA
927,Jay Skillet,178,83,6.63,26,Solingen, Nordrhein-Westfalen, Deutschland
928,Petey Williams,170,80,6.63,196,Windsor, Ontario, Canada
929,Kikutaro,168,105,6.63,51,Osaka, Japan,
930,Lince Dorado,170,77,6.63,122,East Pennsauken, New Jersey, USA
931,Karrion Kross,194,120,6.63,111,New York City, New Cork, USA
932,Silver King,176,98,6.62,36,Torreon, Coahuila, Mexiko
933,Sandman,188,111,6.62,313,Philadelphia, Pennsylvania, USA
934,Sean O'Haire,198,122,6.62,124,Hilton Head Island, South Carolina, USA
935,Jimmy Uso,188,109,6.62,185,San Francisco, California, USA
938,Hellvetic Warrior,180,112,6.61,30,Zürich, Schweiz,
939,Crazzy Steve,178,91,6.61,50,Montreal, Quebec, Canada
940,Veda Scott,155,52,6.61,48,Providence, Rhode Island, USA
941,Jessica McKay,178,60,6.61,142,Sydney, New South Wales, Australia
942,Gigi Dolin,165,52,6.61,32,Douglasville, Georgia, USA
943,Evil Uno,180,100,6.6,100,Gatineau, Quebec, Canada
944,Joey Janela,173,83,6.6,155,Hazlet Township, New Jersey, USA
945,Cloudy,164,68,6.59,53,Webster Hall, New York, USA
946,David Finlay,182,95,6.59,134,Achim, Niedersachsen, Deutschland
947,Sika,188,145,6.58,30,Leone, Samoa,
948,Dan Spivey,203,127,6.58,77,Griffin, Georgia, USA
950,Tom LaRuffa,180,91,6.58,35,Nizza, Alpes-Maritimes, Frankreich
951,Joe Gacy,183,113,6.57,41,Franklinville, New Jersey, USA
952,Ivan Koloff,178,113,6.56,53,Ontario, Canada,
953,Big John Studd,208,165,6.56,84,Butler, Pennsylvania, USA
954,Jazzy Gabert,186,88,6.56,97,Berlin, Deutschland,
955,Slick,193,90,6.55,59,Fort Worth, Texas, USA
956,Super Crazy,173,98,6.55,185,Tulancingo, Hidalgo, Mexiko
957,Col. Robert Parker,193,109,6.54,36,Dyersburg, Tennessee, USA
958,Monty Brown,187,125,6.54,163,Bridgeport, Michigan, USA
959,Earthquake,198,210,6.54,182,Surrey, British Columbia, Canada
960,Charlie Haas,188,110,6.54,273,Houston, Texas, USA
961,Don Fujii,175,105,6.54,34,Minoh, Osaka, Japan
963,Al Snow,185,107,6.53,202,Lima, Ohio, USA
964,Scott Norton,191,160,6.53,112,Minneapolis, Minnesota, USA
965,Fallah Bahh,180,193,6.53,29,Bloomfield, New Jersey, USA
966,Eric Young,183,102,6.53,338,Florence, Ontario, Canada
967,Ariel,165,61,6.52,137,Chino, California, USA
968,Armando Estrada,188,107,6.52,148,Chicago, Illinois, USA
970,Havok,183,120,6.52,57,Canton, Ohio, USA
971,Marc Roudin,173,82,6.51,76,Basel, Schweiz,
972,Brad Armstrong,183,106,6.51,56,Marietta, Georgia, USA
973,Anna Jay,173,65,6.51,56,Brunswick, Georgia, USA
974,Michael Hayes,185,107,6.51,88,Pensacola, Florida, USA
975,Matt Rehwoldt,190,98,6.5,187,Chicago, Illinois, USA
976,Ivan Putski,175,110,6.5,33,Krakau, Kleinpolen, Polen
977,Zelina Vega,154,48,6.5,115,New York City, New York, USA
978,Great-O-Khan,185,110,6.5,71,Maebashi, Gunma, Japan
979,Teddy Hart,183,85,6.49,132,Calgary, Alberta, Canada
980,Catrina,163,54,6.48,68,Tampa, Florida, USA
981,Nikita Koloff,188,122,6.48,45,Minneapolis, Minnesota, USA
982,Dan Severn,188,123,6.47,54,Coldwater, Michigan, USA
983,Teddy Long,178,73,6.46,218,Birmingham, Alabama, USA
984,Max Boyer,173,77,6.46,25,Longueuil, Quebec, Canada
985,Karsten Beck,181,106,6.46,141,Bottrop, Nordrhein-Westfalen, Deutschland
986,Lars Sullivan,190,137,6.46,73,Westminster, Colorado, USA
987,Brooklyn Brawler,183,109,6.46,143,New York City, New York, USA
988,Chelsea Green,170,57,6.46,53,Victoria, British Columbia, Canada
989,Rachael Ellering,168,64,6.46,25,Sauk Centre, Minnesota, USA
990,Shawn Spears,191,107,6.46,248,St. Catharines, Ontario, Canada
991,Chad Collyer,174,97,6.45,39,Liberty, Indiana, USA
992,Rezar,194,140,6.45,50,Albanien,,
993,Sonya Deville,170,59,6.45,103,New Jersey, USA,
994,Pinkie Sanchez,180,77,6.44,35,New York, New York, USA
995,Greg Valentine,180,113,6.44,136,Seattle, Washington, USA
996,Nyla Rose,175,77,6.43,109,Washington, District Of Columbia, USA
997,Nate Webb,188,84,6.42,47,Indianapolis, Indiana, USA
998,Blackjack Mulligan,198,157,6.42,30,Sweetwater, Texas, USA
1000,Gamma,170,80,6.42,30,Iwaki, Fukushima, Japan
