Rank,Name,Height,Weight,Rating,Votes,City,State,Country
151,Demonic Flamita,170,75,8.95,61,Ciudad Nezahualcoyotl, Estado de Mexico, Mexiko
152,Masato Tanaka,181,90,8.95,201,Wakayama, Japan,
153,Reo Hazuki,154,52,8.94,47,Fukuoka, Japan,
154,Vader,190,170,8.94,433,Lynwood, California, USA
155,Charles Robinson,170,68,8.94,162,Charlotte, North Carolina, USA
156,Bryce Remsburg,168,66,8.94,76,Palmyra, Pennsylvania, USA
157,Shotaro Ashino,174,85,8.94,33,Nishitokyo, Tokyo, Japan
158,Nanae Takahashi,165,65,8.94,34,Kawaguchi, Saitama, Japan
159,Kushida,175,85,8.94,308,Tokyo, Japan,
161,Andrade El Idolo,180,95,8.93,351,Gomez Palacio, Durango, Mexiko
162,Kyle O'Reilly,180,91,8.93,360,Surrey, British Columbia, Canada
163,Chris Benoit,175,101,8.92,968,Montreal, Quebec, Canada
164,Jacob Fatu,187,136,8.92,36,California, USA,
165,Jungle Kyona,156,62,8.92,89,Nagoya, Aichi, Japan
166,Syuri,162,52,8.92,76,Ebina, Kanagawa, Japan
167,Akito,175,84,8.92,25,Nagoya, Aichi, Japan
168,Ares,180,98,8.91,191,Zürich, Schweiz,
169,Wesna,175,89,8.91,120,Berlin, Deutschland,
170,Shun Skywalker,180,85,8.91,31,Toki, Gifu, Japan
173,Paul Bearer,180,109,8.87,258,Mobile, Alabama, USA
174,Yuji Hino,178,120,8.87,51,Hirakata, Osaka, Japan
175,Konosuke Takeshita,187,99,8.87,81,Osaka, Japan,
176,Ultimo Dragon,172,83,8.86,206,Nagoya, Aichi, Japan
177,El Hijo del Santo,169,73,8.85,52,Mexico City, Distrito Federal, Mexiko
178,Takashi Sasaki,177,90,8.84,31,Osaka, Japan,
179,Tatsumi Fujinami,183,105,8.83,83,Kunisaki, Oita, Japan
180,Mike Chioda,183,80,8.82,73,Willingboro Township, New Jersey, USA
181,Kyoko Inoue,166,108,8.82,27,Nanyo, Yamagata, Japan
182,Emi Sakura,158,70,8.82,65,Chiba, Japan,
183,Chihiro Hashimoto,158,85,8.82,32,Sakai, Fukui, Japan
184,Otto Wanz,189,175,8.81,42,Graz, Steiermark, Österreich
185,Lacey,168,59,8.81,109,Minneapolis, Minnesota, USA
186,Yuki Ishikawa,178,95,8.81,30,Odawara, Kanagawa, Japan
187,Seth Rollins,187,93,8.8,996,Buffalo, Iowa, USA
188,Melissa Santos,160,52,8.8,44,Nicaragua,,
189,Hikaru Shida,165,60,8.79,216,Samukawa, Kanagawa, Japan
190,Ilja Dragunov,175,85,8.79,178,Moskau, Russland,
191,Ryo Mizunami,160,67,8.78,45,Nagoya, Aichi, Japan
193,Naruki Doi,172,82,8.77,99,Ikoma, Nara, Japan
194,Kenou,174,95,8.77,78,Tokushima, Japan,
195,Antonio Inoki,190,102,8.76,118,Yokohama, Kanagawa, Japan
196,Christopher Daniels,180,95,8.76,596,Kalamazoo, Michigan, USA
197,Ryuji Ito,185,95,8.76,78,Takizawa, Iwate, Japan
201,Tetsuya Endo,180,88,8.75,55,Shiroishi, Miyagi, Japan
202,Low Ki,173,80,8.74,432,New York City, New York, USA
203,Dragon Kid,162,70,8.74,107,Tokai, Aichi, Japan
204,Risa Sera,167,60,8.74,26,Sera, Hiroshima, Japan
205,Tommaso Ciampa,183,93,8.73,332,Everett, Massachusetts, USA
206,Rosemary,170,68,8.73,80,Winnipeg, Manitoba, Canada
207,Konami,156,55,8.73,78,Fukuyama, Hiroshima, Japan
208,Shigehiro Irie,173,115,8.72,42,Osaka, Japan,
209,Isami Kodaka,172,75,8.72,57,Yokohama, Kanagawa, Japan
210,Tracy Williams,188,84,8.72,46,New York City, New York, USA
212,BxB Hulk,178,78,8.71,98,Sapporo, Hokkaido, Japan
213,Timothy Thatcher,190,102,8.71,189,Sacramento, California, USA
214,Eita,170,75,8.7,52,Nagano, Japan,
215,Madison Eagles,185,75,8.69,34,Sydney, New South Wales, Australia
216,Atsushi Onita,181,77,8.69,71,Nagasaki, Japan,
217,Christian Cage,185,95,8.69,934,Kitchener, Ontario, Canada
218,Satoshi Kojima,183,108,8.69,198,Tokyo, Japan,
219,Ayako Hamada,162,65,8.68,64,Mexico City, Distrito Federal, Mexiko
221,Cheerleader Melissa,173,65,8.68,140,Los Angeles, California, USA
222,Dean Malenko,172,98,8.68,361,Irvington, New Jersey, USA
223,Finn Balor,180,87,8.68,640,Bray, County Wicklow, Ireland
224,Yuka Sakazaki,158,58,8.67,78,Japan,,
225,Sara Amato,175,68,8.66,129,Martinez, California, USA
226,Cameron Grimes,183,100,8.66,185,Cameron, North Carolina, USA
227,Kaito Kiyomiya,180,98,8.66,79,Saitama, Japan,
228,Sarah Stock,168,57,8.65,91,Winnipeg, Manitoba, Canada
229,Akira Maeda,192,115,8.64,38,Osaka, Japan,
230,Zenshi,175,78,8.64,27,Atlanta, Georgia, USA
231,Kazushi Sakuraba,180,85,8.64,58,Katagami, Akita, Japan
232,Nick Jackson,178,81,8.63,207,Hesperia, California, USA
233,Joel Gertner,170,86,8.62,51,New York City, New York, USA
234,Kzy,172,75,8.62,52,Ebetsu, Hokkaido, Japan
235,Sasha Banks,164,52,8.62,608,Fairfield, California, USA
236,Riddle,188,98,8.62,268,Allentown, Pennsylvania, USA
237,Hiroyo Matsumoto,167,70,8.61,50,Hiratsuka, Kanagawa, Japan
238,Triple H,193,116,8.61,1314,Nashua, New Hampshire, USA
239,Shuji Kondo,173,103,8.6,47,Shizuoka, Japan,
240,Beth Phoenix,170,70,8.6,421,Elmira, New York, USA
241,Hachiman,191,113,8.6,54,Kitahiroshima, Hokkaido, Japan
242,Naoya Nomura,185,105,8.6,39,Kanazawa, Ishikawa, Japan
243,Saki Akai,174,53,8.6,39,Kyoto, Japan,
244,Koji Kanemoto,180,83,8.59,69,Kobe, Hyogo, Japan
245,Masada,183,111,8.59,85,Beaumont, Texas, USA
246,Bull Nakano,170,115,8.58,105,Kawaguchi, Saitama, Japan
247,Truth Martini,173,89,8.58,42,Hamtrack, Michigan, USA
248,Tony Deppen,169,75,8.58,32,Shamokin, Pennsylvania, USA
249,Dory Funk Jr.,188,115,8.58,82,Amarillo, Texas, USA
250,Ricochet,175,85,8.58,536,Alton, Illinois, USA
251,Matt Jackson,178,78,8.58,207,Rancho Cucamonga, California, USA
252,Mike Bailey,173,79,8.58,126,Laval, Quebec, Canada
